description,GloVe_min,GloVe_max,GloVe_mean,GloVe_std,FastText_min,FastText_max,FastText_mean,FastText_std,USE_min,USE_max,USE_mean,USE_std,SBERT_min,SBERT_max,SBERT_mean,SBERT_std,score_keyword_min,score_keyword_max,score_keyword_mean,score_keyword_std,score_keyword_nltk_min,score_keyword_nltk_max,score_keyword_nltk_mean,score_keyword_nltk_std,response_min,response_max,response_mean,response_std
default,0.9361312,0.9883312,0.9680579544,0.011585869404244931,0.93635094,0.99136406,0.9759261126,0.009871332603397388,0.39967543,0.8718715,0.7122897872,0.07371739913556907,0.5352461,0.95120525,0.827365788,0.08641249963436845,0,4,1.78,1.030641655582687,0.0,8.6,2.366,1.2792216699259285,298,887,436.14,89.55005597570849
Abstractive,0.9024725,0.98547125,0.9665041236,0.014878520703957359,0.897484,0.9910081,0.9747717941,0.01382144353697537,0.52606785,0.85268945,0.7233424068999998,0.06393355389313005,0.44509512,0.95256686,0.8227086331000002,0.10131662784988923,0,4,1.75,1.07661084384791,0.0,8.4,2.4139999999999997,1.254085847592306,254,849,454.42,89.03128266474258
cosine,0.9135484,0.9883985,0.9654822627,0.013578976705445297,0.9350544,0.9932674,0.9741122967999999,0.010640080014022349,0.5681553,0.86016685,0.7087926685000001,0.061447812410077185,0.49479377,0.95971394,0.8270684319,0.09506341060379489,0,4,1.83,1.0352865216055804,0.0,5.8,2.2800000000000002,1.1661903789690602,269,731,423.44,80.65681382351782
Pointer-Generator_Networks,0.9085964,0.98927313,0.9664295152,0.013226173550771372,0.91539526,0.9885581,0.9727051049000001,0.01273048113106202,0.49523467,0.87447846,0.7100268914,0.07096119692067425,0.5087963,0.95913994,0.8230086702999999,0.09257283120009677,0,4,1.76,1.0456258094238748,0.0,5.2,2.2640000000000002,1.1543085734881653,269,577,421.66,67.4096806883481
TextRank,0.9115793,0.988244,0.9671989204999997,0.014130765564413022,0.8960231,0.99434805,0.9747490819000002,0.013791344370519504,0.46964353,0.8379044,0.7172571962000002,0.07106528916736231,0.5168977,0.9596815,0.8261963840000002,0.08838772559779634,0,4,1.81,1.0796089827134432,0.2,8.4,2.446,1.4164559558092427,261,710,439.09,82.40539050231109
TF-IDF,0.90262353,0.98708373,0.9651014699000002,0.015124865160478876,0.90148497,0.9898601,0.9738839068999999,0.012692033251406151,0.37264603,0.8687452,0.7132102211,0.07296633739499113,0.48830485,0.9581857,0.8308472994999999,0.08790027953774286,0,5,1.82,1.1135528725660042,0.0,8.8,2.452,1.5264986013088844,269,864,438.33,85.37322161952757
TSRL,0.901012,0.9856068,0.9618912436000001,0.016922898780695094,0.93880993,0.99106073,0.9728760866,0.011702284745090429,0.5077739,0.8602065,0.6995920286,0.06809668939178888,0.51885587,0.95229685,0.8260450573,0.09134297641369879,0,4,1.8,1.0540925533894598,0.0,8.8,2.282,1.2977354012729916,276,632,409.17,80.85678260312669
davinci003,0.9268812,0.9877887,0.9675905154,0.012351793031086905,0.9061407,0.9900493,0.9728473297,0.014563750379592885,0.45154893,0.8422612,0.6926179527999998,0.07375861197831593,0.48771918,0.94494975,0.8130824556999999,0.10398096071216473,0,4,1.72,0.9752492558885196,0.2,7.0,2.106,1.2853345278505701,195,583,378.41,72.48519110337594
Pointer-Generator_Networks_davinci003,0.914585,0.9895803,0.9649931967999998,0.015517653459912984,0.89939034,0.98857254,0.9708125069000001,0.015171212435119236,0.50015056,0.8655567,0.6821236868999999,0.06857299495654538,0.4191847,0.9397954,0.7987123247,0.10320691084702201,0,5,1.6,1.0347497623614468,0.0,5.2,1.9979999999999998,1.1736139471605207,186,550,379.39,72.51999306356416
temperature_0,0.9098749,0.98805535,0.966899141,0.014478391451519095,0.9320459,0.9935695,0.9753675410999998,0.01088976921265463,0.47278953,0.84695596,0.7172756801000001,0.06798869817817524,0.4881922,0.95868564,0.8309275677,0.095475267884672,0,4,1.75,1.0480862791225007,0.0,7.2,2.306,1.1961064781492938,286,703,434.82,82.29711876837341
temperature_2,0.75152993,0.98403347,0.9431526248999996,0.03926123300700867,0.84650046,0.9867173,0.9527938132,0.03072057892211711,0.17152357,0.84505576,0.6169144182,0.1330909586033727,0.12251145,0.9702108,0.7675962716000001,0.13862914301723722,0,4,1.39,1.0814785987692774,0.0,6.2,1.9960000000000002,1.267138668039297,240,2123,953.29,579.8077057581813
top_p_0,0.9088286,0.98805535,0.9665098393000001,0.01497458710486268,0.9320459,0.9935695,0.9748116099999998,0.010976892133429,0.47278953,0.8448499,0.7162091728,0.06614631984550844,0.49330753,0.95868564,0.8321549032,0.09459902372311237,0,4,1.74,1.0600171525198843,0.0,7.2,2.3280000000000003,1.2464154665084652,286,674,430.21,77.15644542555775
top_p_0.4,0.9088286,0.9911248,0.9663752619,0.014420545910721186,0.94299823,0.9935695,0.9749248837999999,0.010126639430598938,0.48452252,0.8502355,0.7160084869000001,0.06308348437802398,0.5034858,0.9568029,0.8317269214,0.0922362033585768,0,4,1.77,1.0622541307916098,0.0,7.2,2.316,1.2349064496527415,286,660,428.54,73.0811669973665
top_p_0.7,0.93178374,0.9863498,0.9670610233999999,0.012994735729448386,0.9377103,0.99075407,0.9749742566,0.010796509700699359,0.53842586,0.84251267,0.7128042484000002,0.06605930798785128,0.44657618,0.9653393,0.8243843936,0.0953807504880196,0,4,1.73,1.0811049342167849,0.0,8.4,2.296,1.3503400245190773,268,655,427.32,86.98007202395804
frequency_penalty_-2,0.7851017,0.9868631,0.9297995031,0.05844890532779258,0.52176607,0.9911126,0.9325051502999999,0.06941526350874085,0.09490694,0.8469193,0.5810680958,0.22254487399044137,0.40634158,0.95640236,0.8208499030999998,0.09728557244042961,0,4,1.72,1.0257295999049711,0.4,32.2,2.512,3.253134618869138,164,1206,588.4,326.4611907882912
frequency_penalty_-1,0.92629313,0.98521274,0.9671095692000001,0.012726843058116756,0.8917413,0.98938984,0.9734467278,0.013747066172918394,0.55042326,0.8560749,0.7188434775999998,0.06264510968477396,0.48838067,0.9583546,0.821345246,0.08913268581053478,0,4,1.75,0.967919772950572,0.4,5.6,2.328,1.0596435459362947,265,684,426.26,85.55907876780792
frequency_penalty_1,0.91859186,0.98759955,0.9672195472000001,0.013128808597818523,0.9277505,0.9919471,0.9748776801,0.012333532728170848,0.57498246,0.8916973,0.7232680311999999,0.05846045655354918,0.50738513,0.9507818,0.8298380361,0.08639665908614236,0,4,1.83,1.0449977043133645,0.4,7.6,2.336,1.233171160508999,277,949,441.12,104.97544494025276
frequency_penalty_2,0.91337425,0.98533994,0.9669894336,0.01317891859982874,0.91195995,0.9918914,0.9755382784,0.012414237366308246,0.554607,0.87025523,0.7179096575999999,0.06771948208863111,0.5001811,0.9549076,0.8191625514999998,0.09714740999239191,0,5,1.79,1.1127815725841386,0.0,5.4,2.22,1.1142783142537422,272,799,446.23,89.01263728235219
presence_penalty_-2,0.9249678,0.9883746,0.9656548731999999,0.013074741239896884,0.9132259,0.98761266,0.9721599701000001,0.012037099711152481,0.5380254,0.86614233,0.7107328956999999,0.07391407427636822,0.4826796,0.96881694,0.8255771122,0.09621546534193402,0,4,1.8,1.0150384378451047,0.0,5.8,2.378,1.1826677598983708,222,635,423.24,82.55211026431068
presence_penalty_-1,0.90664417,0.9887523,0.9655385290999999,0.014472633685816222,0.93923604,0.99060583,0.9741447182000001,0.010355917560276302,0.48037815,0.85240775,0.7160344375,0.07054721953483008,0.5070271,0.95531845,0.8284803324999999,0.09226571800446048,0,4,1.74,1.031033609069221,0.0,7.0,2.33,1.3099078539571347,263,613,432.06,79.56812975511785
presence_penalty_1,0.9188808,0.9844194,0.9669805278,0.012800970115371233,0.9218765,0.992147,0.9749980498,0.010557726797729183,0.4922873,0.86987805,0.7131962953,0.066973834740968,0.41055396,0.9630357,0.8241842679,0.09953947378822142,0,4,1.82,1.1044446476840653,0.0,5.4,2.252,1.1822320953487633,226,693,430.84,90.24833527662446
presence_penalty_2,0.91309357,0.98724544,0.9668164120999999,0.014781912283952888,0.9115511,0.9881867,0.9746989495,0.013132757905132606,0.5803822,0.83257914,0.7188362710999999,0.06127962545086718,0.5208921,0.9525087,0.8200577737,0.09291459088475618,0,4,1.71,1.0278446606684526,0.2,8.0,2.3,1.2557745406599454,282,609,436.07,71.51763997981776
max_token_64,0.9102805,0.9863195,0.9601440512999999,0.015799715801795622,0.8523901,0.989024,0.9679789240000001,0.0180132885716517,0.49571964,0.86695784,0.6779330674,0.07103564100418412,0.5112848,0.9702697,0.8231156455,0.0897687181370619,0,4,1.58,0.9967624358568864,0.0,5.6,1.9580000000000002,1.0457397941991675,228,441,343.07,41.41883995273531
max_token_128,0.93597245,0.9884252,0.9681643029999999,0.010410187028682558,0.94673955,0.99224734,0.9760038168000001,0.009624505660324266,0.5466168,0.85389066,0.7173943340999999,0.057608463790986233,0.51157796,0.9598958,0.8323104331000001,0.08944077800087999,0,4,1.86,0.9849370589540277,0.0,7.8,2.2980000000000005,1.2323894832332178,274,727,438.68,89.2829889800522
